epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.904,1.41894,4.66892,1.22596,0.67875,0.17984,0.09933,0.07449,1.00554,3.76574,0.98194,8.52315e-05,8.52315e-05,8.52315e-05
2,377.372,1.11639,2.84399,1.0385,0.56448,0.27729,0.25039,0.18965,0.89283,2.24902,0.94517,0.000171186,0.000171186,0.000171186
3,558.768,1.01042,2.12371,1.00398,0.67168,0.39839,0.44201,0.35061,0.85608,1.58444,0.92777,0.000255406,0.000255406,0.000255406
4,749.59,0.96968,1.72464,0.98028,0.60342,0.55805,0.54586,0.43347,0.85282,1.40056,0.93935,0.000255189,0.000255189,0.000255189
5,931.738,0.92917,1.53153,0.98133,0.73625,0.54609,0.61026,0.49142,0.83032,1.23228,0.93138,0.000252585,0.000252585,0.000252585
6,1115.44,0.92957,1.47499,0.98321,0.69786,0.70626,0.72895,0.59932,0.79345,1.10484,0.91183,0.000249981,0.000249981,0.000249981
7,1297.85,0.87727,1.3103,0.96503,0.70702,0.74795,0.77659,0.63046,0.79751,0.97536,0.90946,0.000247378,0.000247378,0.000247378
8,1480.53,0.85464,1.18828,0.95359,0.78822,0.76479,0.80214,0.65795,0.79468,0.9326,0.91902,0.000244774,0.000244774,0.000244774
9,1666.04,0.85295,1.17952,0.95524,0.81571,0.76053,0.82869,0.68099,0.77371,0.91331,0.91062,0.00024217,0.00024217,0.00024217
10,1850.82,0.83664,1.10332,0.95058,0.83532,0.77612,0.84248,0.69926,0.7678,0.82155,0.91132,0.000239567,0.000239567,0.000239567
11,2035.3,0.8461,1.04942,0.94802,0.83931,0.78319,0.85178,0.6991,0.76345,0.86001,0.90813,0.000236963,0.000236963,0.000236963
12,2221.39,0.82697,1.03095,0.93846,0.86042,0.80926,0.87217,0.71776,0.75495,0.79052,0.91229,0.000234359,0.000234359,0.000234359
13,2405.62,0.82013,1.00386,0.95528,0.86695,0.8084,0.89226,0.73571,0.768,0.78789,0.9149,0.000231756,0.000231756,0.000231756
14,2588.49,0.81708,0.96308,0.94183,0.83715,0.81773,0.86735,0.71763,0.74599,0.78814,0.90846,0.000229152,0.000229152,0.000229152
15,2768.94,0.82075,1.01387,0.94867,0.82298,0.8076,0.86705,0.71474,0.74866,0.82977,0.90728,0.000226548,0.000226548,0.000226548
16,2951.38,0.77828,0.90451,0.93412,0.86476,0.82187,0.8767,0.72918,0.7458,0.75159,0.90114,0.000223945,0.000223945,0.000223945
17,3131.77,0.80687,0.95551,0.94651,0.85815,0.81948,0.87202,0.72573,0.74525,0.7496,0.9048,0.000221341,0.000221341,0.000221341
18,3311.25,0.80064,0.91891,0.94925,0.86203,0.82611,0.87835,0.72301,0.75666,0.74776,0.9048,0.000218737,0.000218737,0.000218737
19,3494.63,0.79883,0.92919,0.94543,0.83805,0.83843,0.88074,0.72941,0.75447,0.74003,0.9061,0.000216133,0.000216133,0.000216133
20,3677.07,0.77564,0.85127,0.9303,0.87505,0.82287,0.88273,0.72654,0.74117,0.7137,0.89882,0.00021353,0.00021353,0.00021353
21,3857.98,0.77672,0.83944,0.93747,0.87452,0.82262,0.88303,0.72736,0.73962,0.71929,0.90131,0.000210926,0.000210926,0.000210926
22,4042.29,0.78738,0.91176,0.94043,0.80506,0.86593,0.87903,0.72042,0.75312,0.7673,0.90384,0.000208322,0.000208322,0.000208322
23,4225.93,0.76187,0.86158,0.93376,0.84452,0.82224,0.87857,0.72883,0.74998,0.70299,0.90226,0.000205719,0.000205719,0.000205719
24,4408.92,0.76787,0.8582,0.94979,0.89354,0.82129,0.88273,0.73343,0.73592,0.69614,0.8983,0.000203115,0.000203115,0.000203115
25,4592.69,0.75906,0.80038,0.91982,0.88872,0.81329,0.88709,0.73734,0.7361,0.71297,0.90453,0.000200511,0.000200511,0.000200511
26,4778.37,0.74409,0.83103,0.92641,0.84905,0.83535,0.88835,0.73351,0.76086,0.73349,0.92015,0.000197907,0.000197907,0.000197907
27,4963.23,0.75801,0.80758,0.91915,0.85703,0.80648,0.87764,0.73143,0.75331,0.73624,0.9171,0.000195304,0.000195304,0.000195304
28,5148.03,0.74636,0.79364,0.92454,0.89884,0.79047,0.90325,0.74918,0.73288,0.71188,0.90678,0.0001927,0.0001927,0.0001927
29,5333.14,0.73312,0.75975,0.92012,0.8456,0.84185,0.90174,0.74371,0.75505,0.69484,0.9066,0.000190096,0.000190096,0.000190096
30,5518.52,0.74159,0.76774,0.91601,0.89052,0.82276,0.90003,0.7535,0.72975,0.69009,0.89878,0.000187493,0.000187493,0.000187493
31,5702.19,0.73297,0.74697,0.92802,0.79869,0.89767,0.89828,0.75294,0.73704,0.67789,0.90076,0.000184889,0.000184889,0.000184889
